English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
the,"general, singular, masculine",definite article,the,از,The pencil is in the drawer.,مداد در کشو قرار دارد.,a.mp3,a.mp3
the,"general, singular, feminine",definite article,the,از,The ball is on the floor.,توپ روی زمین است.,a.mp3,a.mp3
the,"general, plural, masculine",definite article,the,از,I like all the dresses in the store.,من تمام لباس های فروشگاه را دوست دارم.,a.mp3,a.mp3
the,"general, plural, feminine",definite article,the,از,The flowers you bought are lovely.,گل هایی که خریداری می کنید دوست داشتنی هستند,a.mp3,a.mp3
be,used to express a permanent quality,copular verb,be,بودن,The ocean is blue.,اقیانوس آبی است,a.mp3,a.mp3
be,used to express a temporary state,copular verb,be,بودن,I'm not in a good mood today.,من امروز در خلق و خوی خوب نیستم,a.mp3,a.mp3
be,followed by a noun,copular verb,be,بودن,France is a member of the European Union.,فرانسه عضو اتحادیه اروپا است.,a.mp3,a.mp3
be,used to indicate a profession or occupation,copular verb,be,بودن,What do you do for a living? - I'm a doctor.,برای امرار معاش چه کار می کنی؟ - من یک پزشک هستم.,,
be,used with dates,copular verb,be,بودن,My birthday is July 26th.,روز تولد من 26 ژوئیه است.,,
be,"used with dates, present day",copular verb,be,بودن,Today is Thursday.,امروز پنج شنبه است.,,
be,imperative,copular verb,be,بودن,Be polite with guests.,با مهمانان مودب باشید,,
be,used to indicate age,copular verb,be,بودن,My brother is 30 years old.,برادر من 30 ساله است.,,
be,to cost,copular verb,be,بودن,One pizza and two drinks are $15.,یک پیتزا و دو نوشیدنی 15 دلار است.,,
be,to take place,intransitive verb,be,بودن,The party is at my place.,حزب در جای من است,,
be,to be present,intransitive verb,be,بودن,My sister is in her room.,خواهر من در اتاقش است,,
be,to visit; used with the present perfect,intransitive verb,be,بودن,I've been to New York three times.,من سه بار به نیویورک رفتم,,
be,to exist,impersonal verb,be,بودن,There are no trees on our road.,درختان ما هیچ درختی وجود ندارد,,
be,used to indicate time,impersonal verb,be,بودن,It is bedtime.,این خواب است,,
be,used to refer to the weather,impersonal verb,be,بودن,It's too windy to go up in a balloon.,این خیلی باد است که در یک بالون بالا برود.,,
be,with tenses of continuous action,auxiliary verb,be,بودن,I am reading a book.,دارم کتاب میخونم.,,
be,with the passive voice,auxiliary verb,be,بودن,The church was built in 1900.,کلیسا در سال 1900 ساخته شد.,,
be,when substituting a verb,auxiliary verb,be,بودن,I'm going to the party. - So am I.,من به حزب میروم - من هم همینطور.,,
be,with infinitive constructions,auxiliary verb,be,بودن,I don't know how much salt is to be added to the sauce.,من نمی دانم چقدر نمک باید به سس اضافه شود.,,
be,used to indicate the future,auxiliary verb,be,بودن,My baby is due in three months.,کودک من به مدت سه ماه است.,,
be,in conditional sentences,auxiliary verb,be,بودن,"Had it not been for his family, he would have never become an artist.","اگر خانواده اش نبود، هرگز به یک هنرمند تبدیل نشد.",,
and,general,conjunction,and,و,I'm going to the beach with my sister and my brother.,من با خواهر و برادر من به ساحل می روم.,,
and,"general, before -i or -hi",conjunction,and,و,Maria and Isabelle had lunch together last week.,ماریا و ایزابل هفته گذشته ناهار داشتند.,,
of,indicating possession,preposition,of,از,The wings of an eagle can span eight feet.,بال عقاب می تواند هشت پا باشد.,,
of,descriptive,preposition,of,از,It is a question of ethics.,این مسئله اخلاق است.,,
of,indicating material,preposition,of,از,This chair is made of oak.,این صندلی از بلوط ساخته شده است.,,
of,indicating distance,preposition,of,از,She walked a distance of three miles.,او فاصله ای از سه مایل راه می رفت.,,
of,indicating location,preposition,of,از,The Caribbean coast of Mexico is the best location for snorkeling.,ساحل کارائیب مکزیک بهترین مکان برای snorkeling است.,,
of,indicating content,preposition,of,از,Can you get me a bottle of water?,آیا می توانید یک بطری آب بگیرید؟,,
of,among,preposition,of,از,One of the students in my group got lost.,یکی از دانشجویان گروه من گم شد,,
of,toward,preposition,of,از,He made no effort to hide his hatred of the invaders.,او تلاش نکرد تا نفرت خود را از مهاجمان پنهان کند.,,
of,indicating time,preposition,of,از,I need to be at the office at a quarter of seven.,من باید در یک چهارم هفتم در دفتر باشم.,,
to,used to indicate direction,preposition,to,به,I'm going to your house.,من به خانه شما می روم,,
to,as far as,preposition,to,به,I would run to your house right now just to see you!,من فقط به خانه خود می روم فقط برای دیدن شما!,,
to,in order to,preposition,to,به,I just came to say hello.,فقط آمدم سلامی عرض کنم.,,
to,used to indicate belonging,preposition,to,به,All of those books belonged to my grandfather.,همه این کتاب ها متعلق به پدربزرگ من بودند.,,
to,used to tell the time,preposition,to,به,It is a quarter to six.,این یک چهارم تا شش است.,,
to,used to indicate proportion or range,preposition,to,به,The birth ratio is 107 boys to 100 girls.,نسبت تولد 107 پسر به 100 دختر است.,,
to,in comparisons,preposition,to,به,Variable A is greater or equal to variable B.,متغیر A بزرگتر یا برابر متغیر B است.,,
to,resulting in,preposition,to,به,"To my surprise, he did not recognize me.","به تعجب من، او مرا شناخت.",,
to,in toasts,preposition,to,به,Here's to the birthday girl! Cheers!,اینجا به دختر تولد! به سلامتی!,,
to,used to indicate position,preposition,to,به,Turn to the left to exit.,برای خروج به سمت چپ بروید,,
to,infinitive particle,preposition,to,به,I learned to drive when I was 17.,"وقتی 17 ساله بودم، یاد گرفتم رانندگی کنم.",,
to,used in place of a verb,preposition,to,به,I didn't want to tell you but I felt I had to.,من نمی خواستم به شما بگویم اما احساس کردم داشتم.,,
in,used to indicate location,preposition,in,که در,Your father is in the kitchen.,پدرت در آشپزخانه است,,
in,"used to indicate location, inside of",preposition,in,که در,Dinner is in the fridge.,شام در یخچال است,,
in,used to indicate time,preposition,in,که در,She was born in 1983.,او در سال 1983 متولد شد.,,
in,"used to indicate time, within",preposition,in,که در,"I finished the third book in the ""A Song of Ice and Fire"" series in three days.","من سومین کتاب را در ""یک آهنگ از یخ و آتش"" در سه روز به پایان رساندم.",,
in,at the conclusion of,preposition,in,که در,"We have to leave in five minutes, at the latest.","ما باید در پنج دقیقه، در آخرین، ترک کنیم.",,
in,used to indicate manner,preposition,in,که در,Does this dress come in red?,آیا این لباس قرمز می شود؟,,
in,after superlatives,preposition,in,که در,"Lionel Messi is, without a doubt, the best soccer player in the world.","لیونل مسی، بدون شک، بهترین بازیکن فوتبال در جهان است.",,
